PDL;tarif;adresse;ref contrat;lieu dit ;duplicata;codepostal;ville;georeference
19312300976633;tb;bureau st  place auguste perret;1 7PJ 2012;bureau service technique;;38350;la mure;1
19312879847814;tb;cafes  8 rue magdeleine;1 9W5 2651;ex cafes;en double;38350;la mure;1
19391461577531;tb;club de tir  av des plantation;1 9W5 2653;club de tir;en bouble;38350;la mure;1
19391027424101;tb;commun aparart  22 av des plantation;1 COG 560;commun appart bastion;;38350;la mure;1
19301736605960;tb;syndicat initiative  43 rue du breuil;1 DD2 4314;office de tourisme;;38350;la mure;1
19309840774088;tb;capitol  av 22 aout 1944;1 EOC 839;capitol;;38350;la mure;1
19391895732460;tb;maison des association  56 bl docteur ricard;1 F3WYWO;mab;;38350;la mure;0
19319681523592;tb;mediatheque 14 rue bon repos;1 915HEV;mediatheque;;38350;la mure;1
19329377697415;tb;appartement communal pl des capucins ;1 FDP7SE;appart capucins;;38350;la mure;1
19394790124058;tb;maison 40 grand rue;1 ISTCKT;maison 40 grand rue;;38350;la mure;1
30001931483096;tj;site antea 36 bl frejus michon ;1 HJBXS9;site antea;;38350;la mure;1
19341968080389;tb;salle d exposition 1 grand rue ( fin 05/2014);1 11Q2 4874;ex esquisse;;38350;la mure;0
19342691733591;tb;eclairage public poste yves turc;1 7PT 4195;ep;;38350;la mure;1
19343270604723;tb;eclairage public rue henri giroud poste centre;1 7PT 4196;ep;;38350;la mure;1
19390882706318;tb;salle polyvalente   22 av des plantation groupe scolaire;1 7PT 4194;salle poly bastion;;38350;la mure;0
19312156258873;tb ;mairie   place auguste perret;1 9W5 2650;mairie;;38350;la mure;1
19312735130020;tb;local communal rue magdeleine;1 9Y1 1603;;;38350;la mure;1
19312445694488;tb;espace vert  rue du château;1 COG 558;grange musee;;38350;la mure;1
19342836451350;tb;ecole  place perouzat;1 DDK 1214;ecole perouzat;;38350;la mure;1
19342402297982;tb;musee mateysin  27rue colonel escallon;1 PTM 4787;musee;;38350;la mure;1
19378581694728;tb;appartement 3 gauche 22av des plantations;1 1QGF 3821;appart 3eG bastion;;38350;la mure;1
19324746736419;tb;reservoir chemin du calvaire;1 2XT9 705;reservoire 3 crois;;38350;la mure;1
19390014379351;tb;halte garderie 21 florian bernard;1 3EZW 716;rose et les choux;;38350;la mure;1
19388856657110;tb;centre aere  bl les trois saules;1 8IL 1426;centre aere;;38350;la mure;1
19389580246118;tb ;garage communal route de pruniere;1 8IL 1427;garage service technique;;38350;la mure;1
19343994193776;tb ;buvette  jeu de boule rue des capucin;1 9W5 2654;buvette boulle;;38350;la mure;1
19344283629308;tb;borne forain place cesar joubert ;1 9W5 2655;borne forain;;38350;la mure;1
19392040448773;tb ;ecole de musique  2 av des plantations;1 ANB 215;ecole de music;;38350;la mure;1
19390159117355;tb ;garage  la roche;1 BXJ 2938;;;38350;la mure;1
19391316859775;tb;logement de fonction  26 av des plantations;1 BXJ 2939;apparte complexe;;38350;la mure;1
19390737988533;tb;groupe scolaire  22 av des plantations;1 COG 559;ecole bastion;;38350;la mure;1
19342981169199;tb ;coffret forain  35 grand rue;1 COG 561;coffret marche;;38350;la mure;1
19391172141943;tb;vestiaires tennis club  24 av des plantations;1 PTK 2111;tennis;;38350;la mure;1
30001934130012;tj;aires gens du voyages  za des marais ;1 B816P7;aires gens du voyage;;38350;la mure;0
30001930705599;tj;stade zewulko;1 ID9 2470;stade zewulko;;38350;la mure;1
30001931696811;tj;st beauregard;1 4T8814;magasin st;;38350;la mure;1
30001930130743;tj;complexe sport sagnette  ?;1 IDH 2446;;;38350;la mure;1
19362228636701;tb ;1grand rue;1 JZ9D24;ex esquisse;;38350;la mure;1
19386685871957;tb;panneau lumineux av du 22 aout 1944;1 HD9JGS;panneau lumineux;;38350;la mure;1
30001931533164;TJ;stade maurice lira;1 1PLLSQ;stade lira;;38350;la mure;1
30001930814066;tj;theatre municipal;1 ID7 3431;theatre;;38350;la mure;1
19350216990340;tb;ep pre neuf  zi les marais;1 1FZ4 2029;ep;;38350;la mure;1
19376266208612;tb;ep lotissement clapet caillat;1 332Q 17;ep;;38350;la mure;1
19303183783907;tb;ep 27 rue de l,eglise;1 3PY 2270;ep;;38350;la mure;1
19388277785989;tb;ep rue des theneveaux;1 3R6 87;ep;;38350;la mure;1
19350072260024;tb;ep poste château  bd auguste vial;1 4D7U 92;ep;;38350;la mure;1
19309551338473;tb;ep route de pierre chatel;17272008;ep;;38350;la mure;1
19309696056218;tb;ep lotissement les castors;17272009;ep;;38350;la mure;1
19311287952048;tb;ep pont de la maladiere;17272010;ep;;38350;la mure;1
19311577387631;tb;ep rue du jeux de quille ( poste mairie);17272011;ep;;38350;la mure;0
19388711939375;tb;ep bd des trois saules;17272012;ep;;38350;la mure;1
19389001374998;tb ;ep  les trois saules ;17272013;ep;;38350;la mure;1
19389290810589;tb;ep lotissement de l, olan;17272014;ep;;38350;la mure;1
19390593270701;tb;ep poste des sagnettes;17272015;ep;;38350;la mure;1
19391895730994;tb ;ep bd du stade (poste caillat);17272015;ep;;38350;la mure;0
19310853798655;tb;ep 2 rue jean jaures (poste gare);17pt491;ep;;38350;la mure;1
19302026041500;tb;ep rue abbe dussert (le genevrey);17pt4192;ep;;38350;la mure;1
19387988350390;tb;ep rue des bastions;17pt4193;ep;;38350;la mure;1
19302894348301;tb;ep rue charle albert (res les accacias);18iv3012;ep;;38350;la mure;0
19387120043504;tb;ep rue hers;18iv3013;ep;;38350;la mure;1
19387843632545;tb;ep chemin des arraignees pres des moines;18iv3014;ep;;38350;la mure;1
19390448552945;tb;ep av general de gaule (ex gendarmerie);18iv3015;ep;;38350;la mure;0
19301881323727;tb;ep montee de la citadelle (poste j eymard);19wh15;ep;;38350;la mure;0
19387698914765;tb;ep alle des victoires (poste hlm petrus richaud);19wh16;ep;;38350;la mure;0
19302604912707;tb;ep av docteur tagnard (poste condamine;1anl1202;ep;;38350;la mure;0
19390303835115;tb;ep lotissement mitral;1anl1203;ep;;38350;la mure;1
19391606295399;tb;ep bd du stade (poste du stade);1anl1204;ep;;38350;la mure;1
19310274927457;tb;ep zi de la mouche;1b934648;ep;                                                                                                  ;38350;la mure;1
